epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
92,5789.8,0.34863,0.25548,0.92581,0.98876,0.98968,0.99043,0.98125,0.1487,0.11226,0.78683,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,6052.3,0.34133,0.25547,0.9224,0.98732,0.98593,0.98833,0.98024,0.14526,0.11551,0.78712,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,6314.55,0.34503,0.2554,0.92538,0.98802,0.98531,0.98981,0.98114,0.13989,0.11224,0.78539,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,6576.32,0.3429,0.25837,0.92533,0.98603,0.99068,0.99092,0.98206,0.14048,0.11469,0.78547,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,6838.49,0.33956,0.25335,0.92012,0.99105,0.98817,0.98923,0.98162,0.14133,0.11064,0.78409,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,7100.52,0.33997,0.25341,0.92096,0.98412,0.99038,0.99119,0.98334,0.14006,0.10923,0.78365,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,7363.4,0.33872,0.25096,0.92251,0.99167,0.98736,0.9917,0.98348,0.13903,0.10868,0.78315,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,7625.68,0.33454,0.25123,0.9225,0.98985,0.98587,0.98952,0.98068,0.13925,0.11023,0.78377,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,7887.41,0.3319,0.24729,0.91892,0.98818,0.98637,0.98931,0.98109,0.13785,0.11336,0.78401,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,8149.05,0.33559,0.25738,0.92107,0.98589,0.99285,0.99016,0.9817,0.13702,0.10806,0.78349,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,8410.42,0.33426,0.24975,0.92034,0.98575,0.99177,0.99004,0.98223,0.13379,0.10716,0.78308,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,8671.81,0.329,0.24251,0.91485,0.98986,0.99043,0.98913,0.98124,0.13281,0.10991,0.7831,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,8933.53,0.32702,0.24597,0.9152,0.98934,0.99028,0.98907,0.98014,0.13464,0.10971,0.78381,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,9195.08,0.32207,0.23765,0.91303,0.98621,0.99287,0.98895,0.97946,0.13729,0.10856,0.7837,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,9456.57,0.32383,0.24292,0.91281,0.9889,0.99201,0.9886,0.97892,0.14005,0.11054,0.78381,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,9718.29,0.32431,0.2432,0.91256,0.9897,0.9921,0.98886,0.9804,0.13807,0.10765,0.78423,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,9979.73,0.32276,0.24484,0.92022,0.9879,0.99168,0.98919,0.98022,0.13645,0.11052,0.78444,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,10242,0.32126,0.24308,0.91795,0.98621,0.99228,0.98919,0.9802,0.1348,0.10934,0.78563,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,10503.2,0.32092,0.23972,0.91597,0.98025,0.99385,0.98914,0.97962,0.13231,0.1106,0.78506,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,10765.1,0.31485,0.23809,0.91521,0.98114,0.99275,0.99002,0.98116,0.13243,0.10998,0.78544,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,11027.3,0.31799,0.2348,0.91293,0.98078,0.99198,0.99034,0.98126,0.13392,0.12492,0.78563,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,11290.4,0.3141,0.24037,0.91545,0.98616,0.98467,0.99038,0.98035,0.13554,0.11496,0.78651,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,11553,0.31272,0.23568,0.91247,0.98609,0.98449,0.99063,0.98075,0.13477,0.11364,0.78668,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,11815.5,0.31558,0.23584,0.91259,0.98226,0.99005,0.99069,0.98166,0.13362,0.11309,0.78623,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,12078.6,0.31515,0.23048,0.9139,0.98116,0.98791,0.99059,0.98258,0.13251,0.11249,0.78563,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,12341.7,0.30837,0.22917,0.90947,0.97749,0.99132,0.99059,0.98249,0.1341,0.11343,0.78586,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,12604.7,0.31509,0.24357,0.91481,0.97987,0.99182,0.99042,0.98234,0.13439,0.11504,0.78559,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,12867.5,0.30761,0.22871,0.90743,0.98083,0.98902,0.99042,0.98318,0.13399,0.11503,0.78526,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,13129.9,0.30746,0.22969,0.9101,0.98166,0.98834,0.99086,0.98369,0.13504,0.11643,0.78488,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,13395.2,0.30631,0.23218,0.9095,0.98836,0.98314,0.99077,0.98317,0.13667,0.11537,0.7849,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,13657.6,0.30512,0.2273,0.90682,0.98906,0.98346,0.99077,0.98214,0.13568,0.11448,0.78509,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
